Date,Close,High,Low,Open,Volume
,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS
2025-07-04,8433.0,8450.0,8364.5,8382.0,183720
2025-07-07,8463.5,8484.0,8404.0,8433.0,123117
2025-07-08,8339.5,8474.0,8291.0,8463.0,253579
2025-07-09,8361.0,8376.0,8310.5,8350.0,157280
2025-07-10,8285.0,8394.0,8268.0,8394.0,229552
2025-07-11,8067.0,8300.0,8045.5,8285.5,539579
2025-07-14,8087.5,8120.0,8035.5,8090.0,248351
2025-07-15,8311.0,8326.0,8090.0,8128.0,366546
2025-07-16,8302.5,8345.0,8184.5,8311.0,275493
2025-07-17,8330.0,8355.0,8262.5,8278.5,249880
2025-07-18,8347.5,8365.0,8305.0,8305.0,268313
2025-07-21,8438.5,8450.0,8306.0,8306.0,253964
2025-07-22,8295.0,8470.0,8277.0,8470.0,302466
2025-07-23,8397.0,8405.0,8290.5,8313.5,194644
2025-07-24,8288.5,8435.0,8276.0,8409.5,298692
2025-07-25,8075.5,8280.0,8044.5,8275.0,554118
2025-07-28,8089.5,8158.0,8075.0,8075.5,232171
2025-07-29,8127.5,8146.0,8056.0,8089.5,209998
2025-07-30,8043.5,8132.5,8025.0,8090.5,222804
2025-07-31,8008.0,8094.0,7930.5,7990.0,297025
2025-08-01,8044.5,8091.0,7951.5,8008.0,329818
2025-08-04,8187.5,8205.0,8044.5,8044.5,221221
2025-08-05,8230.5,8236.5,8130.0,8176.0,194083
2025-08-06,8178.5,8269.0,8120.0,8269.0,515934
