Price,Open,High,Low,Close,Volume,Adj Close
Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,
Date,,,,,,
2025-07-04,6848.814454680373,6913.519823801627,6838.859782507873,6875.1943359375,243498,6875.1943359375
2025-07-07,6883.6557599821035,6899.583235348657,6829.900530619987,6857.27587890625,85574,6857.27587890625
2025-07-08,6970.261661603218,7039.446635250951,6879.674142150791,6906.5517578125,531444,6906.5517578125
2025-07-09,6898.588204003186,6977.727852230928,6888.633531270137,6951.845703125,382020,6951.845703125
2025-07-10,6928.4520531996495,6950.850066302665,6799.0413108266675,6813.4755859375,183664,6813.4755859375
2025-07-11,6799.041218509968,6874.198994790714,6794.063882332434,6804.0185546875,224031,6804.0185546875
2025-07-14,6619.857357908967,6794.561864121452,6515.333294363037,6747.77490234375,968781,6747.77490234375
2025-07-15,6769.1773287923415,6787.593472995674,6703.974223640004,6759.22265625,132235,6759.22265625
2025-07-16,6759.222464826023,6828.40743703595,6720.39924301038,6800.03662109375,327289,6800.03662109375
2025-07-17,6799.538903982068,6849.809999019195,6732.344866061157,6759.72021484375,291956,6759.72021484375
2025-07-18,6749.267954590823,6750.761155465732,6652.209897721707,6700.98779296875,196816,6700.98779296875
2025-07-21,6711.440290825219,6715.422159879402,6633.29611063688,6657.68505859375,152442,6657.68505859375
2025-07-22,6654.698544105243,6654.698544105243,6549.676749579722,6583.02490234375,272172,6583.02490234375
2025-07-23,6610.898142755148,6648.725899030513,6586.011460995041,6622.84375,206835,6622.84375
2025-07-24,6622.843620155625,6653.205371307698,6570.083855858578,6588.5,183852,6588.5
2025-07-25,6598.0,6652.0,6569.0,6616.5,179064,6616.5
2025-07-28,6616.5,6713.5,6555.5,6584.0,155158,6584.0
2025-07-29,6580.0,6688.0,6473.0,6676.5,207710,6676.5
2025-07-30,6643.5,6733.5,6601.5,6650.0,226974,6650.0
2025-07-31,6556.0,6662.5,6552.0,6595.5,208301,6595.5
2025-08-01,6598.0,6598.0,6335.5,6361.5,467222,6361.5
2025-08-04,6372.0,6513.5,6343.0,6489.5,351237,6489.5
2025-08-05,6489.5,6530.5,6363.5,6409.0,377699,6409.0
2025-08-06,6410.5,6449.0,6054.5,6133.5,984259,6133.5
2025-08-07,6150.0,6174.5,5960.5,6131.5,1004420,6131.5
2025-08-08,6100.0,6118.0,5893.5,5914.5,541367,5914.5
2025-08-11,5891.0,6016.0,5856.5,5992.0,677693,5992.0
2025-08-12,5992.0,6015.0,5947.0,5961.0,477759,5961.0
2025-08-13,5971.0,6150.0,5970.0,6100.5,394932,6100.5
2025-08-14,6155.0,6205.0,6091.0,6132.5,407062,6132.5
