Price,Open,High,Low,Close,Volume,Adj Close
Ticker,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,
Date,,,,,,
2025-07-04,5642.338554692705,5642.338554692705,5548.06100557659,5556.94580078125,185006,5556.94580078125
2025-07-07,5557.932772286076,5627.036732154642,5552.996775152607,5609.7607421875,227078,5609.7607421875
2025-07-08,5631.972902561432,5631.972902561432,5576.196133237205,5606.79931640625,180630,5606.79931640625
2025-07-09,5598.407800325121,5645.299771849622,5596.927001224347,5622.1005859375,177978,5622.1005859375
2025-07-10,5619.139345723858,5631.972938748176,5562.868976309547,5579.6513671875,189074,5579.6513671875
2025-07-11,5559.907126948775,5610.747897019418,5517.457551938335,5540.65673828125,522930,5540.65673828125
2025-07-14,5534.733777702613,5543.618572850981,5449.834624062655,5469.57861328125,503684,5469.57861328125
2025-07-15,5518.4449294555425,5570.272900617691,5497.2201412653285,5519.43212890625,715066,5519.43212890625
2025-07-16,5528.316754421043,5561.387935005526,5469.084789195103,5554.4775390625,226544,5554.4775390625
2025-07-17,5595.446347483407,5610.2543388758295,5555.958370436947,5577.6767578125,391603,5577.6767578125
2025-07-18,5591.497623278543,5608.773613463461,5539.669652723789,5555.46484375,254828,5555.46484375
2025-07-21,5525.355270380252,5554.971253605445,5469.578501972804,5486.8544921875,190717,5486.8544921875
2025-07-22,5399.980675211416,5468.0974332716705,5363.947897396934,5369.87109375,517944,5369.87109375
2025-07-23,5362.467308531654,5392.083291458008,5352.59531422287,5371.845703125,344237,5371.845703125
2025-07-24,5370.364869034558,5431.571233350761,5364.441672487829,5398.99365234375,284450,5398.99365234375
2025-07-25,5409.852963803378,5409.852963803378,5303.729023363804,5363.45458984375,292877,5363.45458984375
2025-07-28,5363.4545257489035,5386.160112734404,5288.427368753336,5317.05615234375,322292,5317.05615234375
2025-07-29,5321.005053382917,5413.80180199479,5284.478673610159,5400.474609375,217256,5400.474609375
2025-07-30,5395.044653547482,5485.373397518131,5370.364668856048,5410.83984375,266223,5410.83984375
2025-07-31,5380.236810825638,5439.468775715461,5317.549647983908,5398.5,307018,5398.5
2025-08-01,5551.0,5670.0,5475.0,5528.0,1408773,5528.0
2025-08-04,5527.5,5670.0,5520.0,5621.0,505407,5621.0
2025-08-05,5625.0,5690.0,5584.5,5681.0,458305,5681.0
2025-08-06,5684.5,5712.5,5651.0,5668.0,202535,5668.0
2025-08-07,5660.0,5694.5,5588.0,5681.5,266900,5681.5
2025-08-08,5681.5,5711.5,5655.5,5663.0,373874,5663.0
2025-08-11,5677.0,5708.5,5652.5,5671.5,475811,5671.5
2025-08-12,5679.5,5694.0,5643.0,5658.0,429572,5658.0
2025-08-13,5658.0,5757.5,5648.5,5714.5,427562,5714.5
2025-08-14,5710.0,5785.5,5710.0,5764.0,415010,5764.0
