Price,Open,High,Low,Close,Volume,Adj Close
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,
Date,,,,,,
2025-07-04,1701.6701696132982,1715.561354671366,1692.93851912819,1712.4854736328125,768500,1712.4854736328125
2025-07-07,1712.088568205323,1712.088568205323,1690.0611659357876,1697.10595703125,1366412,1697.10595703125
2025-07-08,1686.786712123524,1705.5398356767303,1674.3838686520276,1694.82373046875,2139193,1694.82373046875
2025-07-09,1696.70895812332,1700.9755846537569,1658.0120871485776,1660.98876953125,2894808,1660.98876953125
2025-07-10,1661.9810177246657,1666.8429565679846,1636.1831034196857,1650.768798828125,2740853,1650.768798828125
2025-07-11,1630.4282242360296,1642.6326712691214,1617.330869325683,1625.56640625,2548153,1625.56640625
2025-07-14,1627.2531527796052,1629.6345230811487,1594.5096442175766,1607.210205078125,3334703,1607.210205078125
2025-07-15,1577.6417650974142,1608.79773361358,1537.9526640886743,1554.2252197265625,14685607,1554.2252197265625
2025-07-16,1554.2251930473537,1561.7660978852655,1547.874912770657,1550.6531982421875,5218099,1550.6531982421875
2025-07-17,1551.4468572425706,1554.6220578386676,1530.4116832000689,1531.9000244140625,4966082,1531.9000244140625
2025-07-18,1544.0,1550.0,1530.0,1548.800048828125,3902458,1548.800048828125
2025-07-21,1548.800048828125,1550.699951171875,1526.0,1530.4000244140625,3368842,1530.4000244140625
2025-07-22,1533.0999755859375,1539.800048828125,1518.300048828125,1520.0999755859375,3218227,1520.0999755859375
2025-07-23,1524.0999755859375,1536.0,1518.0,1529.800048828125,3471536,1529.800048828125
2025-07-24,1530.0,1537.9000244140625,1501.5999755859375,1507.199951171875,4654421,1507.199951171875
2025-07-25,1501.0999755859375,1512.199951171875,1486.5999755859375,1490.0999755859375,2733655,1490.0999755859375
2025-07-28,1490.0999755859375,1494.199951171875,1463.5,1466.0999755859375,4404841,1466.0999755859375
2025-07-29,1466.0999755859375,1477.5,1461.0,1472.4000244140625,6223556,1472.4000244140625
2025-07-30,1480.5,1484.300048828125,1468.800048828125,1476.5,1642426,1476.5
2025-07-31,1465.0,1482.699951171875,1459.5,1467.9000244140625,2306285,1467.9000244140625
2025-08-01,1465.0,1466.9000244140625,1450.0,1452.0999755859375,2152783,1452.0999755859375
2025-08-04,1452.0999755859375,1475.4000244140625,1440.5999755859375,1474.4000244140625,2384774,1474.4000244140625
2025-08-05,1479.9000244140625,1485.4000244140625,1471.199951171875,1482.699951171875,2614394,1482.699951171875
2025-08-06,1480.9000244140625,1483.699951171875,1456.4000244140625,1463.199951171875,1735697,1463.199951171875
2025-08-07,1458.0,1479.199951171875,1451.0,1475.5,1495363,1475.5
2025-08-08,1474.800048828125,1482.199951171875,1459.0,1475.699951171875,2815614,1475.699951171875
2025-08-11,1475.0,1531.0,1465.5999755859375,1488.0,2374556,1488.0
2025-08-12,1490.0,1509.9000244140625,1489.0,1499.0999755859375,3422656,1499.0999755859375
2025-08-13,1500.0,1507.5,1489.0,1501.0999755859375,2916128,1501.0999755859375
2025-08-14,1501.0,1516.199951171875,1485.800048828125,1489.800048828125,4227538,1489.800048828125
