Price,Open,High,Low,Close,Volume,Adj Close
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,
Date,,,,,,
2025-07-04,2318.0,2341.39990234375,2310.300048828125,2339.300048828125,1242346,2339.300048828125
2025-07-07,2341.0,2415.699951171875,2341.0,2410.39990234375,2701583,2410.39990234375
2025-07-08,2405.39990234375,2418.5,2386.0,2392.699951171875,1471046,2392.699951171875
2025-07-09,2399.0,2439.699951171875,2397.10009765625,2423.39990234375,1741690,2423.39990234375
2025-07-10,2423.39990234375,2434.0,2397.60009765625,2408.39990234375,1053695,2408.39990234375
2025-07-11,2500.0,2530.0,2461.0,2519.60009765625,7242235,2519.60009765625
2025-07-14,2500.0,2532.5,2490.0,2516.60009765625,2427712,2516.60009765625
2025-07-15,2520.699951171875,2529.89990234375,2510.0,2526.89990234375,1700294,2526.89990234375
2025-07-16,2526.300048828125,2532.89990234375,2507.5,2517.60009765625,1284379,2517.60009765625
2025-07-17,2513.0,2525.39990234375,2506.199951171875,2509.800048828125,807474,2509.800048828125
2025-07-18,2514.89990234375,2514.89990234375,2481.5,2489.60009765625,771112,2489.60009765625
2025-07-21,2490.89990234375,2493.60009765625,2455.39990234375,2464.89990234375,1169960,2464.89990234375
2025-07-22,2470.0,2485.0,2452.60009765625,2479.699951171875,861632,2479.699951171875
2025-07-23,2481.0,2487.0,2442.0,2450.39990234375,1320795,2450.39990234375
2025-07-24,2455.89990234375,2466.0,2421.0,2437.800048828125,693984,2437.800048828125
2025-07-25,2426.10009765625,2428.60009765625,2405.39990234375,2415.39990234375,769388,2415.39990234375
2025-07-28,2415.39990234375,2448.300048828125,2412.300048828125,2441.60009765625,987995,2441.60009765625
2025-07-29,2444.800048828125,2457.5,2429.699951171875,2453.60009765625,732282,2453.60009765625
2025-07-30,2442.0,2452.89990234375,2398.5,2437.39990234375,1224146,2437.39990234375
2025-07-31,2420.10009765625,2549.0,2420.10009765625,2521.199951171875,5505507,2521.199951171875
2025-08-01,2550.0,2727.5,2536.89990234375,2553.699951171875,4259653,2553.699951171875
2025-08-04,2547.0,2583.199951171875,2535.10009765625,2543.699951171875,1293028,2543.699951171875
2025-08-05,2537.5,2553.0,2517.300048828125,2534.699951171875,756361,2534.699951171875
2025-08-06,2538.699951171875,2563.10009765625,2526.60009765625,2535.60009765625,885487,2535.60009765625
2025-08-07,2535.699951171875,2544.0,2495.0,2517.5,847151,2517.5
2025-08-08,2516.0,2529.89990234375,2486.60009765625,2498.60009765625,839794,2498.60009765625
2025-08-11,2490.10009765625,2524.5,2478.5,2518.39990234375,992436,2518.39990234375
2025-08-12,2518.0,2536.60009765625,2480.10009765625,2483.800048828125,1406211,2483.800048828125
2025-08-13,2485.0,2501.5,2473.39990234375,2495.10009765625,969803,2495.10009765625
2025-08-14,2498.89990234375,2509.0,2473.199951171875,2480.60009765625,1104362,2480.60009765625
