Price,Open,High,Low,Close,Volume,Adj Close
Ticker,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,
Date,,,,,,
2025-07-04,857.0999755859375,863.9000244140625,849.4000244140625,856.25,2658812,856.25
2025-07-07,847.0,866.9500122070312,845.2000122070312,854.4500122070312,3295065,854.4500122070312
2025-07-08,855.0,862.9000244140625,848.4500122070312,850.2999877929688,2344400,850.2999877929688
2025-07-09,851.75,854.9000244140625,839.5499877929688,840.75,2406142,840.75
2025-07-10,845.0,855.7000122070312,840.9500122070312,852.8499755859375,2560806,852.8499755859375
2025-07-11,852.0,867.7000122070312,849.5999755859375,858.8499755859375,3849544,858.8499755859375
2025-07-14,858.7999877929688,873.5,857.4500122070312,867.5999755859375,3605770,867.5999755859375
2025-07-15,871.0,886.75,869.6500244140625,881.0,3532750,881.0
2025-07-16,876.0,888.9500122070312,876.0,879.75,2863446,879.75
2025-07-17,879.75,890.9000244140625,862.75,865.0999755859375,4185118,865.0999755859375
2025-07-18,866.0,876.4500122070312,861.25,870.0499877929688,2622714,870.0499877929688
2025-07-21,870.0499877929688,870.0499877929688,830.5999755859375,858.7999877929688,6765856,858.7999877929688
2025-07-22,880.0,884.6500244140625,841.0999755859375,843.2000122070312,7686762,843.2000122070312
2025-07-23,849.0,854.0,841.7999877929688,851.1500244140625,2623940,851.1500244140625
2025-07-24,855.25,860.7999877929688,845.0,847.9000244140625,2006984,847.9000244140625
2025-07-25,846.4000244140625,848.4000244140625,821.4000244140625,823.7000122070312,2805230,823.7000122070312
2025-07-28,825.0,828.75,798.0,802.0499877929688,5922408,802.0499877929688
2025-07-29,800.0,818.8499755859375,790.0,808.2000122070312,16766666,808.2000122070312
2025-07-30,811.0,814.7999877929688,795.5499877929688,801.9000244140625,3218643,801.9000244140625
2025-07-31,795.5999755859375,806.0,789.0999755859375,798.9000244140625,4480429,798.9000244140625
2025-08-01,792.5,798.6500244140625,779.7000122070312,783.7000122070312,4739250,783.7000122070312
2025-08-04,783.0,805.5999755859375,781.0,804.0499877929688,2980888,804.0499877929688
2025-08-05,820.0,848.7000122070312,810.0499877929688,819.1500244140625,18982770,819.1500244140625
2025-08-06,822.0,822.0,795.4000244140625,803.3499755859375,5249912,803.3499755859375
2025-08-07,801.8499755859375,810.0,789.0999755859375,807.3499755859375,2553303,807.3499755859375
2025-08-08,806.5999755859375,808.5,779.0,782.4500122070312,2490574,782.4500122070312
2025-08-11,784.5,790.0999755859375,777.8499755859375,783.25,1629229,783.25
2025-08-12,784.0499877929688,791.3499755859375,780.7999877929688,783.0499877929688,1462522,783.0499877929688
2025-08-13,787.0,787.7999877929688,766.7000122070312,773.4500122070312,4114205,773.4500122070312
2025-08-14,773.4500122070312,779.7999877929688,765.7000122070312,769.75,1859573,769.75
