Price,Open,High,Low,Close,Volume,Adj Close
Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,
Date,,,,,,
2025-07-04,3590.0,3600.0,3570.10009765625,3594.60009765625,696402,3594.60009765625
2025-07-07,3599.89990234375,3609.800048828125,3575.10009765625,3581.39990234375,719539,3581.39990234375
2025-07-08,3580.0,3614.0,3560.0,3606.39990234375,1513912,3606.39990234375
2025-07-09,3605.0,3605.10009765625,3568.199951171875,3579.699951171875,1008876,3579.699951171875
2025-07-10,3575.0,3589.89990234375,3569.0,3574.699951171875,1063910,3574.699951171875
2025-07-11,3575.0,3586.60009765625,3535.5,3540.60009765625,1439747,3540.60009765625
2025-07-14,3540.60009765625,3548.699951171875,3488.0,3495.89990234375,1358844,3495.89990234375
2025-07-15,3519.0,3521.0,3481.699951171875,3494.0,1585193,3494.0
2025-07-16,3504.0,3516.0,3477.0,3503.800048828125,1266964,3503.800048828125
2025-07-17,3515.0,3515.0,3467.5,3474.0,2217275,3474.0
2025-07-18,3489.0,3499.0,3450.0,3464.800048828125,1818696,3464.800048828125
2025-07-21,3467.60009765625,3508.10009765625,3444.89990234375,3502.800048828125,1521623,3502.800048828125
2025-07-22,3502.0,3507.60009765625,3454.10009765625,3464.60009765625,2586522,3464.60009765625
2025-07-23,3476.199951171875,3490.0,3458.60009765625,3484.89990234375,1192261,3484.89990234375
2025-07-24,3484.89990234375,3493.39990234375,3461.0,3477.5,1083671,3477.5
2025-07-25,3470.0,3477.0,3437.39990234375,3442.89990234375,1338744,3442.89990234375
2025-07-28,3430.10009765625,3446.10009765625,3405.10009765625,3422.199951171875,2256080,3422.199951171875
2025-07-29,3418.0,3504.300048828125,3406.5,3495.60009765625,1241060,3495.60009765625
2025-07-30,3622.0,3685.300048828125,3590.0,3665.10009765625,8760659,3665.10009765625
2025-07-31,3625.0,3662.89990234375,3621.0,3636.5,1927627,3636.5
2025-08-01,3636.0,3636.0,3578.10009765625,3587.300048828125,1205945,3587.300048828125
2025-08-04,3595.199951171875,3636.800048828125,3577.0,3631.10009765625,1033049,3631.10009765625
2025-08-05,3630.0,3657.699951171875,3608.300048828125,3652.60009765625,1158433,3652.60009765625
2025-08-06,3650.0,3671.0,3622.199951171875,3628.39990234375,931383,3628.39990234375
2025-08-07,3610.300048828125,3649.0,3599.199951171875,3641.60009765625,1211790,3641.60009765625
2025-08-08,3641.60009765625,3662.300048828125,3600.0,3607.60009765625,1337067,3607.60009765625
2025-08-11,3610.0,3676.89990234375,3600.0,3668.39990234375,1822410,3668.39990234375
2025-08-12,3680.0,3727.89990234375,3673.10009765625,3686.10009765625,2280103,3686.10009765625
2025-08-13,3696.0,3716.0,3681.300048828125,3693.699951171875,1227196,3693.699951171875
2025-08-14,3700.0,3708.5,3641.699951171875,3677.0,1769702,3677.0
