Price,Open,High,Low,Close,Volume,Adj Close
Ticker,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,SBILIFE.NS,
Date,,,,,,
2025-07-04,1806.0,1812.0999755859375,1783.0999755859375,1799.699951171875,685665,1799.699951171875
2025-07-07,1799.699951171875,1811.800048828125,1792.199951171875,1808.300048828125,376143,1808.300048828125
2025-07-08,1801.0,1818.800048828125,1797.300048828125,1816.9000244140625,616714,1816.9000244140625
2025-07-09,1820.0,1821.0,1799.0,1814.9000244140625,597896,1814.9000244140625
2025-07-10,1811.0,1823.5,1801.4000244140625,1810.199951171875,1104366,1810.199951171875
2025-07-11,1814.0,1840.0,1812.0,1835.199951171875,770854,1835.199951171875
2025-07-14,1843.0,1856.300048828125,1831.699951171875,1851.300048828125,1231109,1851.300048828125
2025-07-15,1849.9000244140625,1851.699951171875,1822.4000244140625,1824.800048828125,1313007,1824.800048828125
2025-07-16,1833.9000244140625,1839.9000244140625,1821.5999755859375,1829.0999755859375,652826,1829.0999755859375
2025-07-17,1829.0,1829.0,1796.300048828125,1802.800048828125,886192,1802.800048828125
2025-07-18,1799.0,1802.800048828125,1754.0999755859375,1788.4000244140625,1600088,1788.4000244140625
2025-07-21,1794.699951171875,1807.4000244140625,1781.0,1804.699951171875,481174,1804.699951171875
2025-07-22,1791.0999755859375,1815.300048828125,1791.0999755859375,1809.0,578221,1809.0
2025-07-23,1809.0,1818.5,1792.0,1809.5,555690,1809.5
2025-07-24,1808.0,1822.5,1778.699951171875,1793.5999755859375,928018,1793.5999755859375
2025-07-25,1814.0,1847.0,1810.9000244140625,1832.0999755859375,1821229,1832.0999755859375
2025-07-28,1832.0,1858.0,1819.0,1850.5,1182404,1850.5
2025-07-29,1848.0,1851.800048828125,1822.9000244140625,1833.4000244140625,585182,1833.4000244140625
2025-07-30,1825.0,1850.0,1824.5,1839.0999755859375,480951,1839.0999755859375
2025-07-31,1838.0,1857.4000244140625,1821.4000244140625,1840.699951171875,1570804,1840.699951171875
2025-08-01,1840.0,1843.300048828125,1788.9000244140625,1796.199951171875,559870,1796.199951171875
2025-08-04,1798.0,1836.199951171875,1781.0,1831.5,844169,1831.5
2025-08-05,1833.300048828125,1860.4000244140625,1818.699951171875,1857.0,1251783,1857.0
2025-08-06,1858.5999755859375,1876.0,1850.5999755859375,1854.300048828125,816457,1854.300048828125
2025-08-07,1835.0,1863.0999755859375,1835.0,1861.0999755859375,742694,1861.0999755859375
2025-08-08,1851.0999755859375,1870.9000244140625,1831.0,1833.5999755859375,779798,1833.5999755859375
2025-08-11,1836.0,1852.699951171875,1825.9000244140625,1851.0,455452,1851.0
2025-08-12,1849.699951171875,1863.9000244140625,1834.0,1838.0,627624,1838.0
2025-08-13,1841.300048828125,1859.0,1838.0,1840.300048828125,570828,1840.300048828125
2025-08-14,1842.0999755859375,1853.699951171875,1832.199951171875,1840.5999755859375,468063,1840.5999755859375
